iter	Passed	Remaining
410	4257	4029
411	4269	4020
412	4279	4010
413	4289	3999
414	4300	3989
415	4311	3980
416	4322	3969
417	4333	3960
418	4344	3950
419	4355	3940
420	4366	3930
421	4377	3920
422	4388	3911
423	4401	3902
424	4411	3892
425	4422	3882
426	4432	3871
427	4441	3860
428	4452	3850
429	4462	3839
430	4472	3829
431	4484	3820
432	4496	3810
433	4506	3800
434	4518	3791
435	4529	3781
436	4540	3771
437	4552	3762
438	4563	3752
439	4574	3743
440	4587	3734
441	4599	3725
442	4611	3715
443	4621	3705
444	4631	3694
445	4642	3684
446	4654	3675
447	4667	3666
448	4678	3657
449	4690	3647
450	4702	3638
451	4713	3628
452	4723	3617
453	4734	3608
454	4744	3597
455	4753	3585
456	4762	3574
457	4774	3565
458	4785	3555
459	4797	3546
460	4809	3536
461	4821	3527
462	4832	3517
463	4843	3507
464	4853	3496
465	4860	3483
466	4870	3472
467	4882	3463
468	4894	3454
469	4906	3445
470	4917	3435
471	4926	3423
472	4938	3414
473	4950	3404
474	4961	3394
475	4973	3385
476	4983	3374
477	4994	3364
478	5005	3354
479	5015	3343
480	5026	3333
481	5035	3322
482	5045	3311
483	5057	3301
484	5068	3291
485	5077	3280
486	5089	3271
487	5102	3262
488	5112	3251
489	5123	3241
490	5134	3231
491	5143	3220
492	5155	3210
493	5164	3199
494	5176	3189
495	5186	3179
496	5198	3169
497	5208	3158
498	5220	3148
499	5231	3138
500	5242	3128
501	5253	3118
502	5265	3109
503	5276	3098
504	5287	3088
505	5297	3077
506	5309	3068
507	5319	3057
508	5330	3047
509	5343	3038
510	5353	3027
511	5364	3017
512	5373	3006
513	5385	2996
514	5396	2986
515	5407	2976
516	5418	2966
517	5430	2956
518	5441	2946
519	5453	2936
520	5465	2926
521	5476	2916
522	5488	2906
523	5499	2896
524	5509	2885
525	5520	2875
526	5530	2865
527	5540	2854
528	5551	2843
529	5561	2833
530	5573	2823
531	5585	2813
532	5595	2803
533	5605	2792
534	5616	2782
535	5628	2772
536	5639	2762
537	5649	2751
538	5659	2740
539	5671	2730
540	5680	2719
541	5691	2709
542	5703	2699
543	5712	2688
544	5722	2677
545	5734	2667
546	5745	2657
547	5756	2646
548	5767	2636
549	5778	2626
550	5789	2616
551	5801	2606
552	5812	2596
553	5821	2584
554	5831	2574
555	5843	2564
556	5854	2554
557	5866	2544
558	5877	2533
559	5887	2523
560	5898	2512
561	5909	2502
562	5922	2493
563	5933	2482
564	5945	2472
565	5957	2462
566	5966	2452
567	5979	2442
568	5990	2431
569	6002	2422
570	6015	2412
571	6025	2401
572	6036	2391
573	6047	2381
574	6057	2370
575	6068	2359
576	6078	2349
577	6089	2338
578	6100	2328
579	6109	2317
580	6119	2306
581	6131	2296
582	6143	2286
583	6154	2276
584	6164	2265
585	6176	2255
586	6187	2245
587	6196	2234
588	6208	2224
589	6220	2214
590	6232	2204
591	6244	2194
592	6255	2183
593	6266	2173
594	6277	2162
595	6286	2151
596	6299	2141
597	6309	2131
598	6319	2120
599	6332	2110
600	6343	2100
601	6354	2090
602	6366	2079
603	6378	2069
604	6391	2059
605	6401	2049
606	6414	2039
607	6424	2028
608	6435	2018
609	6445	2007
610	6455	1997
611	6467	1986
612	6475	1975
613	6485	1964
614	6495	1953
615	6506	1943
616	6519	1933
617	6530	1923
618	6541	1912
619	6553	1902
620	6564	1892
621	6574	1881
622	6582	1870
623	6594	1860
624	6606	1849
625	6617	1839
626	6628	1829
627	6638	1818
628	6649	1807
629	6661	1797
630	6672	1787
631	6684	1777
632	6695	1766
633	6707	1756
634	6717	1745
635	6729	1735
636	6740	1724
637	6752	1714
638	6763	1704
639	6774	1693
640	6785	1683
641	6798	1673
642	6808	1662
643	6820	1652
644	6832	1641
645	6843	1631
646	6852	1620
647	6863	1610
648	6873	1599
649	6885	1588
650	6897	1578
651	6908	1568
652	6918	1557
653	6931	1547
654	6941	1536
655	6954	1526
656	6964	1515
657	6977	1505
658	6987	1495
659	6999	1484
660	7010	1474
661	7022	1463
662	7034	1453
663	7045	1443
664	7054	1432
665	7065	1421
666	7075	1410
667	7086	1400
668	7098	1390
669	7108	1379
670	7118	1368
671	7131	1358
672	7142	1347
673	7154	1337
674	7163	1326
675	7175	1316
676	7185	1305
677	7196	1294
678	7209	1284
679	7220	1274
680	7232	1263
681	7243	1253
682	7255	1242
683	7264	1232
684	7275	1221
685	7286	1210
686	7296	1200
687	7307	1189
688	7317	1178
689	7327	1168
690	7340	1157
691	7349	1147
692	7361	1136
693	7372	1126
694	7385	1115
695	7397	1105
696	7409	1094
697	7421	1084
698	7431	1073
699	7440	1062
700	7450	1052
701	7463	1041
702	7472	1031
703	7483	1020
704	7495	1010
705	7507	999
706	7519	989
707	7530	978
708	7540	967
709	7551	957
710	7563	946
711	7572	935
712	7582	925
713	7594	914
714	7607	904
715	7617	893
716	7629	883
717	7639	872
718	7649	861
719	7657	850
720	7669	840
721	7680	829
722	7689	818
723	7702	808
724	7714	798
725	7723	787
726	7735	776
727	7755	767
728	7767	756
729	7778	745
730	7787	735
731	7799	724
732	7810	713
733	7820	703
734	7831	692
735	7842	681
736	7852	671
737	7864	660
738	7875	650
739	7885	639
740	7896	628
741	7907	618
742	7918	607
743	7929	596
744	7940	586
745	7950	575
746	7962	564
747	7973	554
748	7985	543
749	7997	533
750	8008	522
751	8019	511
752	8031	501
753	8044	490
754	8055	480
755	8068	469
756	8079	458
757	8090	448
758	8101	437
759	8110	426
760	8122	416
761	8134	405
762	8145	395
763	8156	384
764	8167	373
765	8176	362
766	8187	352
767	8198	341
768	8208	330
769	8218	320
770	8228	309
771	8241	298
772	8253	288
773	8264	277
774	8275	266
775	8286	256
776	8298	245
777	8308	234
778	8317	224
779	8328	213
780	8338	202
781	8348	192
782	8357	181
783	8368	170
784	8381	160
785	8393	149
786	8404	138
787	8415	128
788	8426	117
789	8438	106
790	8449	96
791	8461	85
792	8472	74
793	8484	64
794	8495	53
795	8505	42
796	8517	32
797	8528	21
798	8540	10
799	8551	0
