iter	RMSE
350	66.83445035
351	66.76716542
352	66.69205359
353	66.61326459
354	66.48161591
355	66.38782631
356	66.24726829
357	66.13548739
358	66.09345714
359	66.03328981
360	65.85448456
361	65.77517235
362	65.66481194
363	65.62101977
364	65.54671128
365	65.47277587
366	65.32510387
367	65.22597908
368	65.13373226
369	65.0988685
370	65.03966254
371	64.95903599
372	64.89870071
373	64.88738159
374	64.83989949
375	64.80722305
376	64.75117739
377	64.73204166
378	64.67713013
379	64.63275219
380	64.60677996
381	64.55405504
382	64.49360214
383	64.38609975
384	64.3482262
385	64.27640916
386	64.11668591
387	64.05514307
388	63.96763536
389	63.93649775
390	63.83639914
391	63.80455676
392	63.69215398
393	63.60930606
394	63.56473888
395	63.53012163
396	63.42168616
397	63.35630192
398	63.2256267
399	63.16990001
400	63.14650505
401	63.07150513
402	63.04831102
403	62.97868041
404	62.91992358
405	62.76668967
406	62.73628986
407	62.69146676
408	62.64961699
409	62.60000083
410	62.56770394
411	62.53398623
412	62.44250781
413	62.41272964
414	62.27192823
415	62.13595819
416	62.00670228
417	61.90985022
418	61.85700488
419	61.7731728
420	61.69636843
421	61.65862815
422	61.6137539
423	61.59955362
424	61.50859893
425	61.42717083
426	61.33352522
427	61.30621983
428	61.25419103
429	61.22106373
430	61.14356601
431	61.07758608
432	60.97345393
433	60.88183005
434	60.8355488
435	60.78262313
436	60.75965222
437	60.60129475
438	60.49627137
439	60.44820326
440	60.42572137
441	60.38166198
442	60.32687075
443	60.26894605
444	60.22568733
445	60.17620109
446	60.1409824
447	60.1160601
448	60.03933621
449	60.00534034
450	59.89811667
451	59.87630385
452	59.85131939
453	59.77451097
454	59.7419359
455	59.59805232
456	59.55858957
457	59.51952058
458	59.38015409
459	59.29201293
460	59.17178368
461	59.07819135
462	59.05555892
463	59.03054963
464	59.00439901
465	58.92925015
466	58.86947728
467	58.80632003
468	58.72507787
469	58.64049016
470	58.59961199
471	58.47891328
472	58.42590553
473	58.35998924
474	58.28662777
475	58.25657675
476	58.23416726
477	58.21178217
478	58.18572549
479	58.11569362
480	58.06594041
481	58.02012377
482	57.99481711
483	57.95102586
484	57.92046085
485	57.87166952
486	57.80169812
487	57.70164938
488	57.63045153
489	57.56070633
490	57.53878894
491	57.48080258
492	57.42705235
493	57.31624601
494	57.27805206
495	57.14050664
496	57.07853849
497	57.03475362
498	56.92840234
499	56.88369185
500	56.85572349
501	56.8315407
502	56.78414496
503	56.73852708
504	56.72106164
505	56.68660466
506	56.66324348
507	56.55511581
508	56.51665431
509	56.37823865
510	56.31699804
511	56.25147249
512	56.18149731
513	56.17195044
514	56.15350123
515	56.13590172
516	56.08244837
517	56.06131888
518	55.96752872
519	55.93870496
520	55.90433617
521	55.86120362
522	55.80387503
523	55.74176255
524	55.61712958
525	55.56193333
526	55.47609922
527	55.40249365
528	55.35753054
529	55.2694938
530	55.22761628
531	55.20628556
532	55.1348922
533	55.10800312
534	55.0650687
535	54.97868946
536	54.9339664
537	54.90097982
538	54.78381821
539	54.75043781
540	54.73601653
541	54.6787224
542	54.60773268
543	54.58892357
544	54.51914568
545	54.45716913
546	54.4120799
547	54.35118038
548	54.30956274
549	54.2935751
550	54.27785093
551	54.24719206
552	54.22576334
553	54.21166313
554	54.10020929
555	54.05026152
556	54.00718349
557	53.96409419
558	53.89454354
559	53.85179984
560	53.81653784
561	53.76024234
562	53.70773866
563	53.64436822
564	53.59072516
565	53.57067324
566	53.4932297
567	53.47520426
568	53.46657293
569	53.43072172
570	53.38210558
571	53.37062278
572	53.3037482
573	53.28156008
574	53.19868873
575	53.18387957
576	53.15975245
577	53.12961336
578	53.11359929
579	53.10575567
580	53.05904239
581	53.00980542
582	52.9846006
583	52.94413474
584	52.9134422
585	52.83694579
586	52.76459474
587	52.71421707
588	52.69411374
589	52.64211075
590	52.61271366
591	52.55590493
592	52.49914572
593	52.43993822
594	52.43029634
595	52.34467565
596	52.28752104
597	52.24134128
598	52.23191565
599	52.14268506
600	52.09295727
601	52.0601355
602	52.02191674
603	52.01031589
604	51.96410959
605	51.90846331
606	51.85802037
607	51.8369313
608	51.8232225
609	51.78172254
610	51.74920871
611	51.70876667
612	51.62743239
613	51.61791173
614	51.56566019
615	51.53898319
616	51.51711932
617	51.47239572
618	51.44210042
619	51.41143414
620	51.38405264
621	51.32069862
622	51.30883996
623	51.28883629
624	51.25319565
625	51.24592991
626	51.19987503
627	51.16052729
628	51.11213422
629	51.10531743
630	51.06692476
631	51.04075082
632	51.00405956
633	50.98809693
634	50.96913902
635	50.94298345
636	50.92610193
637	50.90545713
638	50.88363562
639	50.86092092
640	50.82591671
641	50.79875433
642	50.76893142
643	50.73942192
644	50.68856433
645	50.67385471
646	50.63018706
647	50.59921706
648	50.53038059
649	50.49804245
650	50.44973031
651	50.42786935
652	50.34853731
653	50.30728229
654	50.28267453
655	50.23935959
656	50.22760007
657	50.20802824
658	50.13581158
659	50.11736532
660	50.07254735
661	50.05873496
662	50.02184386
663	49.97248049
664	49.91686675
665	49.8907229
666	49.87086018
667	49.82799449
668	49.7982289
669	49.78604446
670	49.74037596
671	49.72007469
672	49.69562631
673	49.62749713
674	49.54223546
675	49.52711309
676	49.45629229
677	49.42781944
678	49.36284433
679	49.35079595
680	49.3143307
681	49.28215797
682	49.25796884
683	49.23144711
684	49.19789823
685	49.17959369
686	49.14901928
687	49.11076829
688	49.07757201
689	49.02808096
690	48.98958787
691	48.95705781
692	48.92363586
693	48.87261245
694	48.86367565
695	48.81497759
696	48.77792557
697	48.76491788
698	48.73613797
699	48.69785452
700	48.67821529
701	48.64463183
702	48.59551403
703	48.58256869
704	48.56668971
705	48.53711414
706	48.45523842
707	48.42995636
708	48.41106881
709	48.36313728
710	48.34765482
711	48.32005768
712	48.25340026
713	48.23982042
714	48.21700777
715	48.19026259
716	48.14423389
717	48.08670744
718	48.05535725
719	48.02267011
720	47.98144658
721	47.93144498
722	47.90780193
723	47.89526892
724	47.88025408
725	47.87232893
726	47.8461292
727	47.77908998
728	47.73773864
729	47.68146489
730	47.63739865
731	47.59559342
732	47.54058999
733	47.53257423
734	47.52116691
735	47.47685894
736	47.47093803
737	47.43883993
738	47.39105395
739	47.37611724
740	47.34497509
741	47.32405675
742	47.30191264
743	47.28619725
744	47.26319174
745	47.24506429
746	47.20686463
747	47.17837358
748	47.1698792
749	47.1261086
750	47.05891919
751	47.03638707
752	46.99229055
753	46.97108603
754	46.96207315
755	46.9492235
756	46.93507977
757	46.91759647
758	46.90796957
759	46.88861504
760	46.86500898
761	46.8384384
762	46.82933064
763	46.7904482
764	46.77785748
765	46.75927438
766	46.73718404
767	46.72446589
768	46.70136361
769	46.65491926
770	46.63020919
771	46.59201638
772	46.57465289
773	46.53866323
774	46.48811425
775	46.46705404
776	46.45449902
777	46.41766032
778	46.36640954
779	46.33381478
780	46.31258203
781	46.28811421
782	46.27408778
783	46.25741248
784	46.24922192
785	46.22975301
786	46.21612578
787	46.20851605
788	46.16767739
789	46.15642833
790	46.11365164
791	46.10192278
792	46.04778961
793	46.03074952
794	45.9862307
795	45.96309811
796	45.9311886
797	45.9209041
798	45.9028654
799	45.85373084
